row,original_name,normalized_name,group_title,country_hint,matched,tvg_id,epg_source_section,confidence,method
1797,BO || ATB Santa Cruz,BO ATB SANTA CRUZ,BOLIVIA 2 (TEST),bo,False,,,0,no_candidate
1798,BO || Bolivision &gt;),BO BOLIVISION AND GT,BOLIVIA 2 (TEST),bo,False,,,83,review_required
1799,BO || Bolivision HD &gt;),BO BOLIVISION AND GT,BOLIVIA 2 (TEST),bo,False,,,83,review_required
1800,BO || Bolivision La Paz,BO BOLIVISION LA PAZ,BOLIVIA 2 (TEST),bo,False,,,83,review_required
1801,BO | Red Advenir,BO RED ADVENIR,BOLIVIA 2 (TEST),bo,False,,,0,no_candidate
1802,D| Tigo Sports 2 BO,D TIGO SPORTS 2 BO,BOLIVIA 2 (TEST),bo,False,,,83,review_required
1803,LAS ESTRELLAS,LAS ESTRELLAS,-- VIX --,,True,LAS.ESTRELLAS.HD..uy,epg_ripper_UY1,99,exact_name
1804,BEIN SPORTS XTRA u00d1,BEIN SPORTS XTRA U00D1,-- VIX --,,False,,,90,review_required
1805,TV CHILE,TV CHILE,CHILE,cl,True,TV.Chile.cl,epg_ripper_CL1,100,exact_name+country
1806,TV CHILE,TV CHILE,CHILE,cl,True,TV.Chile.cl,epg_ripper_CL1,100,exact_name+country
1807,evTV,EVTV,VENEZUELA,ve,False,,,83,review_required
1808,ZAPPING FUNCIONA SOLO EN EVENTOS,ZAPPING FUNCIONA SOLO EN EVENTOS,CHILE,cl,False,,,0,no_candidate
1809,ZAPPING EVENTOS,ZAPPING EVENTOS,CHILE,cl,False,,,0,no_candidate
1810,UNIVISION SACRAMENTO KUVS,UNIVISION SACRAMENTO KUVS,TELEMUNDO-UNIMAS-UNIVISION-GALAVISION,,False,,,90,review_required
1811,TV AGRO,TV AGRO,✈CULTURA✈,,False,,,90,review_required
1812,UNSION,UNSION,ECUADOR,ec,False,,,83,review_required
1813,AUSTRAL,AUSTRAL,ECUADOR,ec,False,,,83,review_required
1814,Maya TV,MAYA,HONDURAS,hn,True,Maya.Tv.in,epg_ripper_IN1,99,exact_name
1815,Canal 8 TNH,TNH,HONDURAS,hn,False,,,90,review_required
1816,ESPN DEPORTES,ESPN DEPORTES,DEPORTES PREMIUM,,True,Canal.ESPN.Deportes.sv,epg_ripper_SV1,99,exact_name
1817,| ESPN 1 AR | HD |,ESPN 1 AR,DEPORTES PREMIUM,,False,,,95,review_required
1818,| ESPN 1 ARG | FHD |,ESPN 1 ARG,DEPORTES PREMIUM,,False,,,95,review_required
1819,ESPN 1 CO FHD,ESPN 1 CO,DEPORTES PREMIUM,,False,,,95,review_required
1820,ESPN 1 CH HD,ESPN 1 CH,DEPORTES PREMIUM,,False,,,95,review_required
1821,ESPN 1 MEX HD,ESPN 1 MEX,DEPORTES PREMIUM,,False,,,95,review_required
1822,ESPN 1 MEX FHD,ESPN 1 MEX,DEPORTES PREMIUM,,False,,,95,review_required
1823,| ESPN 2 ARG | HD |,ESPN 2 ARG,DEPORTES PREMIUM,,False,,,95,review_required
1824,ESPN 2 ARG | FHD,ESPN 2 ARG,DEPORTES PREMIUM,,False,,,95,review_required
1825,ESPN 2 CO,ESPN 2 CO,DEPORTES PREMIUM,,False,,,95,review_required
1826,| ESPN 2 CH |,ESPN 2 CH,DEPORTES PREMIUM,,False,,,95,review_required
1827,ESPN 2 MX | HD,ESPN 2 MX,DEPORTES PREMIUM,,False,,,95,review_required
1828,| ESPN 2 MX | FHD |,ESPN 2 MX,DEPORTES PREMIUM,,False,,,95,review_required
1829,| ESPN 3 AR | HD |,ESPN 3 AR,DEPORTES PREMIUM,,False,,,95,review_required
1830,| ESPN 3 ARG | FHD |,ESPN 3 ARG,DEPORTES PREMIUM,,False,,,95,review_required
1831,| ESPN 3 MEX | HD |,ESPN 3 MEX,DEPORTES PREMIUM,,False,,,95,review_required
1832,| ESPN 3 MX | FHD |,ESPN 3 MX,DEPORTES PREMIUM,,False,,,95,review_required
1833,| ESPN 4 SUR |,ESPN 4 SUR,DEPORTES PREMIUM,,True,Canal.ESPN.4.(Sur).sv,epg_ripper_SV1,99,exact_name
1834,ESPN 4 MX,ESPN 4 MX,DEPORTES PREMIUM,,False,,,95,review_required
1835,ESPN 5 MX,ESPN 5 MX,DEPORTES PREMIUM,,False,,,95,review_required
1836,ESPN 5 SUR,ESPN 5 SUR,DEPORTES PREMIUM,,False,,,95,review_required
1837,| ESPN 5 NORTE |,ESPN 5 NORTE,DEPORTES PREMIUM,,False,,,95,review_required
1838,| ESPN 6 |,ESPN 6,DEPORTES PREMIUM,,True,ESPN.6..uy,epg_ripper_UY1,99,exact_name
1839,| ESPN 7 | HD |,ESPN 7,DEPORTES PREMIUM,,True,ESPN.7..uy,epg_ripper_UY1,99,exact_name
1840,ESPN PREMIUM AR,ESPN AR,DEPORTES PREMIUM,,False,,,95,review_required
1841,ESPN PREMIUM CH,ESPN CH,DEPORTES PREMIUM,,False,,,95,review_required
1842,| FOX DEPORTES |,FOX DEPORTES,DEPORTES PREMIUM,,True,Canal.Fox.Deportes.sv,epg_ripper_SV1,99,exact_name
1843,| FOX SPORT AR |,FOX SPORT AR,DEPORTES PREMIUM,,False,,,90,review_required
1844,| FOX SPORT AR | FHD |,FOX SPORT AR,DEPORTES PREMIUM,,False,,,90,review_required
1845,| FOX SPORT 1 MX |,FOX SPORT 1 MX,DEPORTES PREMIUM,,False,,,90,review_required
1846,FOX SPORT 1 MX  FHD,FOX SPORT 1 MX,DEPORTES PREMIUM,,False,,,90,review_required
1847,FOX SPORTS 2 AR,FOX SPORTS 2 AR,DEPORTES PREMIUM,,False,,,95,review_required
1848,FOX SPORT 2 ARG FHD,FOX SPORT 2 ARG,DEPORTES PREMIUM,,False,,,90,review_required
1849,FOX SPORTS 2 MX,FOX SPORTS 2 MX,DEPORTES PREMIUM,,False,,,95,review_required
1850,FOX SPORTS 2 MX  FHD,FOX SPORTS 2 MX,DEPORTES PREMIUM,,False,,,95,review_required
1851,| FOX SPORTS 3 ARG | HD |,FOX SPORTS 3 ARG,DEPORTES PREMIUM,,False,,,95,review_required
1852,| FOX SPORTS 3 ARG | FHD |,FOX SPORTS 3 ARG,DEPORTES PREMIUM,,False,,,95,review_required
1853,FOX SPORT 3 MX HD,FOX SPORT 3 MX,DEPORTES PREMIUM,,False,,,90,review_required
1854,| FOX SPORTS 3 MX | FHD |,FOX SPORTS 3 MX,DEPORTES PREMIUM,,False,,,95,review_required
